location_id,west__distance_in_meters,west__station,west__distance_in_time,east__distance_in_meters,east__station,east__distance_in_time,south__distance_in_meters,south__station,south__distance_in_time,north__distance_in_meters,nortth__station,north__distance_in_time
Presidente Pedro Aguirre Cerda,1500,Lo Valledor,46.99397444314200,1590,Franklin,47.1754566207401,,,,,,
Príncipe de Gales,1420,Francisco Bilbao,53.738826740220100,760,Simón Bolívar,98.23150607765420,,,,,,
Protectora de la Infancia,1470,Hospital Sótero del Río,47.86424740249070,1300,Las Mercedes,56.800155926875300,,,,,,
Pudahuel,960,Barrancas,80.80840215081100,1580,San Pablo,46.964123019620600,,,,,,
Puente Cal y Canto,760,Patronato,92.75367753115150,1290,Santa Ana,47.79304926300740,,,,,,
Puente Cal y Canto,1670,Hospitales,40.155902520401900,570,Plaza de Armas,108.99793654770400,,,,,,
Quilín,900,Los Presidentes,71.65463791693290,1370,Las Torres,55.87465033723210,,,,,,
Quinta Normal,1080,Gruta de Lourdes,66.96233157352670,1090,Cumming,59.950142978127500,,,,,,
República,560,Unión Latinoamericana,120.41675139680900,590,Los Héroes,113.6646954715200,,,,,,
Riquelme,970,La Cisterna,79.01461254993910,1620,Observatorio,48.46785665728510,,,,,,
Rodrigo de Araya,1240,Ñuble,57.60704719539130,1060,Carlos Valdovinos,60.51911249669460,,,,,,
Rojas Magallanes,1200,Vicente Valdés,65.52405449728790,1140,Trinidad,60.41716474595470,,,,,,
Rondizzoni,950,Parque O'Higgins,72.65962777039810,1040,Franklin,71.1103774109661,,,,,,
Salvador,900,Baquedano,68.81009698066600,830,Manuel Montt,93.39092806144830,,,,,,
San Alberto Hurtado,680,Ecuador,94.36324101227540,540,Universidad de Santiago,133.19822950220800,,,,,,
San Joaquín,790,Camino Agrícola,78.14327244326400,1090,Pedrero,63.73433150371300,,,,,,
San José de la Estrella,840,Trinidad,89.33595901067010,890,Los Quillayes,70.52763160265340,,,,,,
San Miguel,740,El Llano,92.37746757479210,850,Lo Vial,85.57145377840370,,,,,,
San Pablo,,,,690,Neptuno,101.28872893861600,,,,,,
San Pablo,1580,Pudahuel,47.32217315267490,570,Lo Prado,133.42624096148700,,,,,,
San Ramón,2000,La Cisterna,31.886465165203500,820,Santa Rosa,83.20811660797820,,,,,,
Santa Ana,1290,Puente Cal y Canto,49.98699387237560,890,Los Héroes,70.66797492344790,,,,,,
Santa Ana,820,Cumming,85.562936949948,870,Plaza de Armas,70.98939460900200,,,,,,
Santa Isabel,500,Parque Bustamante,134.3052054169420,720,Irarrázaval,93.10195898949760,,,,,,
Santa Julia,1570,La Granja,46.19598756381770,1640,Vicuña Mackenna,47.54629643585860,,,,,,
Santa Lucía,480,Universidad de Chile,145.505301329213,530,Universidad Católica,132.88911952664000,,,,,,
Santa Rosa,820,San Ramón,90.11068863454830,1710,La Granja,39.159102304090300,,,,,,
Santiago Bueras,1530,Plaza de Maipú,43.69979618073180,810,Del Sol,88.60584900175830,,,,,,
Simón Bolívar,760,Príncipe de Gales,95.26483859175870,810,Plaza Egaña,79.47563531297860,,,,,,
Tobalaba,820,Los Leones,83.9802207953689,620,El Golf,102.0765474019200,,,,,,
Tobalaba,,,,1310,Cristóbal Colón,50.32986040993720,,,,,,
Toesca,820,Los Héroes,76.57850387125970,960,Parque O'Higgins,81.98789571407420,,,,,,
Trinidad,1140,Rojas Magallanes,60.61419312667030,840,San José de la Estrella,75.75995576879320,,,,,,
Unión Latinoamericana,630,Estación Central,112.58542302970300,560,República,141.359090597867,,,,,,
Universidad Católica,530,Santa Lucía,124.40710847350500,660,Baquedano,101.111282671293,,,,,,
Universidad de Santiago,540,San Alberto Hurtado,129.04398701690400,750,Estación Central,104.54405643899800,,,,,,
Vespucio Norte,,,,1500,Zapadores,42.672588508726900,,,,,,
Vicente Valdés,760,Vicuña Mackenna,93.5504174868116,1200,Rojas Magallanes,60.85981478997290,,,,,,
Vicente Valdés,770,Bellavista de La Florida,81.99353970367800,,,,,,,,,
Vicuña Mackenna,1300,Macul,60.82982217803,760,Vicente Valdés,95.0436375388333,,,,,,
Vicuña Mackenna,1640,Santa Julia,40.00534920188290,,,,,,,,,
Villa Frei,1540,Chile España,46.2665818138322,900,Plaza Egaña,80.37089548218690,,,,,,
Vivaceta,1600,Cardenal Caro,41.82016746683140,1560,Conchalí,44.09731237555250,,,,,,
Zapadores,1500,Vespucio Norte,45.18685431058870,660,Dorsal,118.70848396901300,,,,,,
