"station","address","line","previous__distance_in_meters","previous__station","previous__distance_in_time","previous__combination","next","previous","next__distance_in_meters","next__station","next__distance_in_time","next__combination","transfer_to","coords__lat","coords__lng"
"Irarrázaval","Irarrázaval con Gral. Bustamante , Santiago de Chile","L3","1410","Matta","54.086838041788134","1","","","1350","Monseñor Eyzaguirre","51.23102267665203","1","L5","-33.453135","-70.62892939999999"
"Monseñor Eyzaguirre","Irarrázaval con Monseñor Eyzaguirre , Santiago de Chile","L3","1350","Irarrázaval","46.946821439602346","9999","","","780","Ñuñoa","92.5665352595314","9999","null","-33.4566216","-70.61410579999999"
"Ñuñoa","Irarrázaval con Pedro de Valdivia , Santiago de Chile","L3","780","Monseñor Eyzaguirre","91.25314846120298","1","","","750","Chile España","104.54489996176945","1","L6","-33.4546207","-70.60460189999999"
"Chile España","Irarrázaval con José Pedro Alessandri , Santiago de Chile","L3","750","Ñuñoa","82.49474835568205","9999","","","1540","Villa Frei","44.220836837191456","1","null","-33.45518","-70.5975048"
"Villa Frei","Irarrázaval con Ramón Cruz , Santiago de Chile","L3","1540","Chile España","46.2665818138322","1","","","900","Plaza Egaña","80.37089548218685","9999","null","-33.4547576","-70.580221"
"Plaza Egaña","Irarrázaval con Ossa , Santiago de Chile","L3","900","Villa Frei","73.91083966517337","1","","","1320","F. Castillo Velasco","57.538641287776606","1","L4","-33.4557237","-70.5835475"
"Fernando Castillo Velasco","Alcalde Fernando Castillo Velasco con Loreley , Santiago de Chile","L3","1320","Plaza Egaña","52.186079506398414","9999","null","","","","","","null","-33.4522463","-70.5582412"
"Tobalaba","Tobalaba con Apoquindo , Santiago de Chile","L4","","","","","","null","1310","Cristóbal Colón","50.32986040993723","1","L1","-33.4857085","-70.55843709999999"
"Cristóbal Colón","Tobalaba con Cristóbal Colón , Santiago de Chile","L4","1310","Tobalaba","54.12039523847051","9999","","","770","Francisco Bilbao","96.09619422893952","1","null","-33.4262618","-70.5912065"
"Francisco Bilbao","Tobalaba con Francisco Bilbao , Santiago de Chile","L4","770","Cristóbal Colón","82.17785092349422","1","","","1420","Príncipe de Gales","53.68603099070003","1","null","-33.4313378","-70.58494759999999"
"Príncipe de Gales","Ossa con Príncipe de Gales , Santiago de Chile","L4","1420","Francisco Bilbao","53.738826740220105","1","","","760","Simón Bolívar","98.23150607765419","1","null","-33.4391129","-70.57313119999999"
"Simón Bolívar","Ossa con Echeñique , Santiago de Chile","L4","760","Príncipe de Gales","95.26483859175868","1","","","810","Plaza Egaña","79.47563531297861","9999","null","-33.4463745","-70.57205569999999"
"Plaza Egaña","Ossa con Alcalde Fernando Castillo Velasco , Santiago de Chile","L4","810","Simón Bolívar","78.76002219099723","1","","","1000","Los Orientales","68.45447773173589","1","L3","-33.4557237","-70.5835475"
"Los Orientales","Américo Vespucio con Oriental , Santiago de Chile","L4","1000","Plaza Egaña","73.18674752790177","9999","","","830","Grecia","76.20146208595406","1","null","-33.4623751","-70.57393379999999"
"Grecia","Américo Vespucio con Grecia , Santiago de Chile","L4","830","Los Orientales","94.62285930320517","1","","","1210","Los Presidentes","54.41017613327898","1","null","-33.468819","-70.576202"
"Los Presidentes","Américo Vespucio con Los Presidentes , Santiago de Chile","L4","1210","Grecia","60.38981808205996","1","","","900","Quilín","85.81476870142367","1","null","-33.4799535","-70.5786684"
"Quilín","Américo Vespucio con Quilín , Santiago de Chile","L4","900","Los Presidentes","71.65463791693291","1","","","1370","Las Torres","55.87465033723208","1","null","-33.4883713","-70.5804364"
"Las Torres","Américo Vespucio con Las Torres , Santiago de Chile","L4","1370","Quilín","56.497939212438986","1","","","1190","Macul","58.69191184519969","1","null","-33.4991664","-70.58656979999999"
"Macul","Américo Vespucio con Macul , Santiago de Chile","L4","1190","Las Torres","65.99596635369448","1","","","1300","Vicuña Mackenna","50.28242999911867","9999","null","-33.5093823","-70.5900613"
"Vicuña Mackenna","Américo Vespucio con Serafín Zamora , Santiago de Chile","L4","1300","Macul","60.82982217803","1","","","760","Vicente Valdés","95.0436375388333","9999","L4A","-33.519642","-70.596069"
"Vicente Valdés","Vicuña Mackenna con Vicente Valdés , Santiago de Chile","L4","760","Vicuña Mackenna","93.5504174868116","1","","","1200","Rojas Magallanes","60.85981478997293","1","L5","-33.526337","-70.596756"
"Rojas Magallanes","Vicuña Mackenna con Rojas Magallanes , Santiago de Chile","L4","1200","Vicente Valdés","65.52405449728786","1","","","1140","Trinidad","60.41716474595467","1","null","-33.5361495","-70.59270289999999"
"Trinidad","Vicuña Mackenna con Trinidad , Santiago de Chile","L4","1140","Rojas Magallanes","60.61419312667029","1","","","840","San José de la Estrella","75.75995576879319","1","null","-33.5461248","-70.58820759999999"
"San José de la Estrella","Vicuña Mackenna con San José de la Estrella , Santiago de Chile","L4","840","Trinidad","89.33595901067007","1","","","890","Los Quillayes","70.52763160265343","1","null","-33.5536454","-70.5865999"
"Los Quillayes","Vicuña Mackenna con María Elena , Santiago de Chile","L4","890","San José de la Estrella","72.28739947624861","1","","","930","Elisa Correa","84.90023714712783","1","null","-33.5612136","-70.5852853"
"Elisa Correa","Vicuña Mackenna con Elisa Correa , Santiago de Chile","L4","930","Los Quillayes","81.18062386789511","1","","","790","Hospital Sótero del Río","87.52207583927976","1","null","-33.5693531","-70.58379699999999"
"Hospital Sótero del Río","Concha y Toro con Gabriela Oriente , Santiago de Chile","L4","790","Elisa Correa","97.620919839588","1","","","1470","Protectora de la Infancia","50.39276974323712","1","null","-33.5769857","-70.58232199999999"
"Protectora de la Infancia","Concha y Toro con Ángel Pimentel , Santiago de Chile","L4","1470","Hospital Sótero del Río","47.86424740249071","1","","","1300","Las Mercedes","56.800155926875284","1","null","-33.5895734","-70.5798394"
"Las Mercedes","Concha y Toro con Independencia , Santiago de Chile","L4","1300","Protectora de la Infancia","56.41712936963061","1","","","750","Plaza de Puente Alto","88.19212015927258","1","null","-33.6014017","-70.57746279999999"
"Plaza de Puente Alto","Concha y Toro con Tocornal , Santiago de Chile","L4","750","Las Mercedes","82.23985802010829","1","null","","","","","","null","-33.609481","-70.57545689999999"
"La Cisterna","Américo Vespucio con Gran Avenida , Santiago de Chile","L4A","","","","","","null","2000","San Ramón","37.37937447498315","1","L2","-33.5373549","-70.6643055"
"San Ramón","Américo Vespucio con Carlos Dávila , Santiago de Chile","L4A","2000","La Cisterna","31.886465165203504","9999","","","820","Santa Rosa","83.20811660797823","1","null","-33.5412191","-70.643224"
"Santa Rosa","Américo Vespucio con Santa Rosa , Santiago de Chile","L4A","820","San Ramón","90.11068863454828","1","","","1710","La Granja","39.159102304090304","1","null","-33.5423371","-70.63441499999999"
"La Granja","Américo Vespucio con Coronel , Santiago de Chile","L4A","1710","Santa Rosa","42.2062070891899","1","","","1570","Santa Julia","43.88993795562525","1","null","-33.541138","-70.615967"
"Santa Julia","Américo Vespucio con Santa Julia , Santiago de Chile","L4A","1570","La Granja","46.19598756381765","1","","","1640","Vicuña Mackenna","47.54629643585856","9999","null","-33.531105","-70.605499"
"Vicuña Mackenna","Américo Vespucio con Serafín Zamora , Santiago de Chile","L4A","1640","Santa Julia","40.00534920188292","1","null","","","","","","L4","-33.519642","-70.596069"
"Plaza de Maipú","Los Pajaritos con Cinco de abril , Santiago de Chile","L5","","","","","","null","1530","Santiago Bueras","46.59256108172164","1","null","-33.5097856","-70.7564245"
"Santiago Bueras","Los Pajaritos con Rafael Riesco , Santiago de Chile","L5","1530","Plaza de Maipú","43.69979618073179","1","","","810","Del Sol","88.60584900175833","1","null","-33.4968828","-70.757054"
"Del Sol","Los Pajaritos con Autopista del Sol , Santiago de Chile","L5","810","Santiago Bueras","79.97692306455954","1","","","1050","Monte Tabor","64.63307042168614","1","null","-33.490116","-70.753063"
"Monte Tabor","Los Pajaritos con Monte Tabor , Santiago de Chile","L5","1050","Del Sol","67.79045300159163","1","","","940","Las Parcelas","78.61674667356294","1","null","-33.48220970000001","-70.74539250000001"
