location_id,west__time,west__station,east__time,east__station,south__time,south__station,north__time,north__station
Tobalaba,0,,218,Cristóbal Colón,0,,0,
Toesca,137,Los Héroes,160,Parque O'Higgins,0,,0,
Trinidad,190,Rojas Magallanes,140,San José de la Estrella,0,,0,
Unión Latinoamericana,105,Estación Central,93,República,0,,0,
Universidad Católica,88,Santa Lucía,110,Baquedano,0,,0,
Universidad de Santiago,90,San Alberto Hurtado,125,Estación Central,0,,0,
Vespucio Norte,0,,250,Zapadores,0,,0,
Vicente Valdés,127,Vicuña Mackenna,200,Rojas Magallanes,0,,0,
Vicente Valdés,128,Bellavista de La Florida,0,,0,,0,
Vicuña Mackenna,217,Macul,127,Vicente Valdés,0,,0,
Vicuña Mackenna,273,Santa Julia,0,,0,,0,
Villa Frei,257,Chile España,150,Plaza Egaña,0,,0,
Vivaceta,267,Cardenal Caro,260,Conchalí,0,,0,
Zapadores,250,Vespucio Norte,110,Dorsal,0,,0,
